year,sport,total_turnover,total_profit,prev_year_turnover,prev_year_profit,yoy_turnover_pct,yoy_profit_pct,profit_anomaly_flag
2018,E - NBA2K,53188.0,9489.0,,,,,Normal
2018,E - Fortnite,4505.0,-6673.0,,,,,Normal
2018,E - Dragon Ball FighterZ,2.0,2.0,,,,,Normal
2018,E - Warcraft 3,282603.0,-17080.0,,,,,Normal
2018,E - Overwatch,8552272.0,-44238.0,,,,,Normal
2018,E - CS:GO,256510834.0,6955316.0,,,,,Normal
2018,E - Smite,1749.0,60.0,,,,,Normal
2018,E - Artifact,46704.0,3849.0,,,,,Normal
2018,E - Paladins,2468.0,-141.0,,,,,Normal
2018,E - Tekken,130.0,130.0,,,,,Normal
2018,Soccer,1164108569.9198327,24468530.0,,,,,Normal
2018,E - Dota2,276232795.0,4484105.0,,,,,Normal
2018,E - PUBG,275380.0,-41221.0,,,,,Normal
2018,E - Rocket League,170246.0,-9132.0,,,,,Normal
2018,E - Street Fighter,67707.0,489.0,,,,,Normal
2018,E - Team Fortress 2,14255.0,-981.0,,,,,Normal
2018,Tennis,876940667.7627846,17557067.0,,,,,Normal
2018,E - Arena of Valor,7532.0,1826.0,,,,,Normal
2018,E - Fifa,12241.0,-2141.0,,,,,Normal
2018,E - World of Warcraft,6688.0,954.0,,,,,Normal
2018,E - Quake,48660.0,-8978.0,,,,,Normal
2018,E - Hearthstone,2812788.0,-47648.0,,,,,Normal
2018,E - Honor of Kings,806687.0,-13893.0,,,,,Normal
2018,E - Other Esports,1593641.0,119062.0,,,,,Normal
2018,E - Rainbow Six,137864.0,-15183.0,,,,,Normal
2018,E - Starcraft: Brood War,365319.0,41122.0,,,,,Normal
2018,E - Warhammer 2,722.0,-477.0,,,,,Normal
2018,E - Call of Duty,379882.0,-20106.0,,,,,Normal
2018,E - Clash Royale,12693.0,-24220.0,,,,,Normal
2018,E - Starcraft2,9720931.0,-124207.0,,,,,Normal
2018,E - League of Legends,91298158.0,828082.0,,,,,Normal
2019,E - Fifa,6223.0,-981.0,12241.0,-2141.0,-49.16,-54.18,Normal
2019,E - World of Warcraft,1813.0,45.0,6688.0,954.0,-72.89,-95.28,Normal
2019,E - Dota2,200799029.0,2186245.0,276232795.0,4484105.0,-27.31,-51.24,Normal
2019,E - PUBG,68461.0,-4276.0,275380.0,-41221.0,-75.14,-89.63,Normal
2019,E - Rocket League,122024.0,4850.0,170246.0,-9132.0,-28.32,-153.11,Normal
2019,E - Street Fighter,14504.0,277.0,67707.0,489.0,-78.58,-43.35,Normal
2019,E - Team Fortress 2,1981.0,-1137.0,14255.0,-981.0,-86.1,15.9,Normal
2019,E - League of Legends,74660426.0,2140201.0,91298158.0,828082.0,-18.22,158.45,Normal
2019,E - Teamfight Tactics,28.0,-10.0,,,,,Normal
2019,Tennis,1088651344.5214486,24834144.0,876940667.7627846,17557067.0,24.14,41.45,Normal
2019,Soccer,1002256978.1634117,18284152.0,1164108569.9198327,24468530.0,-13.9,-25.27,Normal
2019,E - Artifact,24455.0,1073.0,46704.0,3849.0,-47.64,-72.12,Normal
2019,E - Dota Auto Chess,15333.0,2131.0,,,,,Normal
2019,E - Arena of Valor,22944.0,655.0,7532.0,1826.0,204.62,-64.13,Normal
2019,E - Super Smash Bros,110.0,68.0,,,,,Normal
2019,E - Other Esports,142743.0,5066.0,1593641.0,119062.0,-91.04,-95.75,Normal
2019,E - Overwatch,6431736.0,-39165.0,8552272.0,-44238.0,-24.8,-11.47,Normal
2019,E - Formula 1,33.0,-17.0,,,,,Normal
2019,E - Quake,34847.0,-4408.0,48660.0,-8978.0,-28.39,-50.9,Normal
2019,E - Hearthstone,604062.0,-450.0,2812788.0,-47648.0,-78.52,-99.06,Normal
2019,E - Fortnite,10986.0,-2320.0,4505.0,-6673.0,143.86,-65.23,Normal
2019,E - Honor of Kings,1486777.0,12674.0,806687.0,-13893.0,84.31,-191.23,Normal
2019,E - Magic,31569.0,-2036.0,,,,,Normal
2019,E - Rainbow Six,175349.0,4440.0,137864.0,-15183.0,27.19,-129.24,Normal
2019,E - Vainglory,6106.0,-3479.0,,,,,Normal
2019,E - Call of Duty,344621.0,-4244.0,379882.0,-20106.0,-9.28,-78.89,Normal
2019,E - Clash Royale,471.0,-28.0,12693.0,-24220.0,-96.29,-99.88,Normal
2019,E - Starcraft2,5781615.0,-117661.0,9720931.0,-124207.0,-40.52,-5.27,Normal
2019,E - NBA2K,49783.0,-654.0,53188.0,9489.0,-6.4,-106.89,Normal
2019,E - CSGO,168430340.0,4517790.0,,,,,Normal
2019,E - Warcraft 3,427945.0,-13040.0,282603.0,-17080.0,51.43,-23.65,Normal
2019,E - Paladins,715.0,-153.0,2468.0,-141.0,-71.03,8.51,Normal
2019,E - Pro Evolution Soccer,75.0,75.0,,,,,Normal
2019,E - Starcraft: Brood War,363543.0,-32617.0,365319.0,41122.0,-0.49,-179.32,Normal
